我也是醉了	我很无奈、郁闷、无语
真是醉了    无奈、郁闷、无语
真特么日了狗了  非常不爽
真是秀下限    展示最低限度给别人看，很不爽
哦凑  不爽
真是装逼  假装很厉害，其实很垃圾
蓝瘦香菇   难受想哭
真特么扯淡   胡说八道
真特么扯蛋   胡说八道
真是操蛋   抱怨，不爽
弱爆	非常弱，超级弱、无敌弱
恶爆	非常恶心，超级恶心、无敌恶心
废柴	废物，无用的人
磨叽	办事儿拖拖拉拉、不利索
被完爆	被其他人全面超过
真是无良商家  真是没有良心的商家
衰	倒霉,运气不好
无良	没良心
哦谢特	厌恶、恼怒
次奥	无奈，不爽
2b	侮辱,人笨,傻
脑残	讽刺人智力低下或脑力有缺陷
小样	讽刺或戏谑很弱
歇火	停止死，完蛋，完了,没戏，下台，走开，没办法，不行
傻冒	傻傻子
歇菜	停止,死，完蛋，完了,没戏，下台，走开，没办法，不行
抓狂	刺激而疯狂
切!!!	蔑视
怨念	即埋怨或怨恨的念头
极品	讽刺和贬低
靠!!!!	发泄
SB	傻逼
尼玛	轻微怒气
囧	不高兴的心情,郁闷、悲伤、无奈或者极为尴尬
我勒个去	心情不爽时的发泄语
坑爹	欺骗,欺诈
伤不起	经不起伤害了
悲催	非常悲惨，不称意，不顺心，失败，伤心，悔恨
杯具	悲剧
蛋疼	无奈,不爽
555  大哭
我可能进了一个假的     差的
我好方   我很慌张
