洪荒之力	非常大的力量
跪舔	讨好人家,对人家特别好.
颜值	人的颜荣或容貌美丽的数值
高冷	高贵或高傲，然后冷淡或冷漠
放水	故意不拿出全部实力,让对手获胜。
躺枪	非常倒霉
毒趴	吸毒的聚会
愤青	激进人士
cos	角色扮演
你懂得	你应当知道的
装叼	装牛逼,装厉害
心焦	心里焦急,非常着急
搅基	搞同性恋
大拿	牛人,达人
萌萌达	可爱的,很可爱
友尽	友情已经走到了尽头，爱情(基情)现在就可以开始
ccav	cctv
狠嫁	非常想嫁人,恨不得早日出嫁
萌萌哒	可爱的,很可爱
傻吊	傻瓜
呦西	好,不错
么么达	亲亲、亲爱的、宝贝
美刀	美元
死党	关系特别好的朋友
车黑	抹黑汽车品牌的人
拼爹	比拼爸爸
炮灰	被拿去送死的东西
大咖	达人,大牛
孔雀女	在大城市里长大，深受父母溺爱，从小过着优越生活的女孩
卖腐	依靠同性之间的爱情(通常是男性之间的爱情)来吸引眼球的行为
作死	找死
趴体	聚会
大趴	大型聚会
可耐	可爱
蓝颜知己	女性的亲密男性朋友
419	一夜情
213	笨,傻
粑粑	大便
潜规则	隐藏的规则
油菜花	有才华
吊炸天	非常厉害
萌翻了	非常可爱
女票	女朋友
逗逼	令人发笑的傻B
拉倒	算了
挽尊	挽救尊严
泪奔	非常激动
男票	男朋友
逗b	令人发笑的傻B
残念	可惜，遗憾
乙女	少女，年轻的女性
上道	入门，入行
矫情	做作，不表达真实感情
屌	厉害
逗比	令人发笑的傻B
捉鸡	着急
弯女	同性恋女性
先森	先生
范儿	气质，派头
直女	异性恋女性
碧池	婊子或贱人
山寨	模仿
墨迹	拖拖拉拉、不利索
灰机	飞机
马赛克	模糊
拉黑	拉到黑名单中去
高富帅	又高又帅又有钱
闹太套	没什么
无下限	什么事情都可以做得出来

艾特	发消息
哦凑	我操
赶脚	感觉
a货	最好的仿货
bug	缺陷或问题
切克闹	表演要开始
牛13	牛B
傻13	傻B
傻b	傻瓜
干巴爹	加油
土豪金	奢侈
揩油	占便宜
绝壁	太强了
矮穷挫	吊丝,指身高,相貌,经济等各方面条件比较差
爪机	手机
嘉年华	狂欢节
马克	mark
嗦嘎	是嘛，是这样啊
狗血	老套，没有新意的事物
滚粗	滚出
怪咖	另类，怪人
废材	废物，无用的人
土豪	富豪
哟西	好，不错
搜噶	是嘛，是这样啊
杀马特	打扮得夸张、另类、非主流的一类人
亚麻跌	不要,停止,住手,不可以
扯淡	胡说八道
扯蛋	胡说八道
艾玛	感叹，惊讶
八嘎	傻瓜，笨蛋
卡哇伊	可爱
操蛋	抱怨，不满
zzz	睡觉
大v	粉丝众多，影响力大的人
毛线	毛啊,屁啊
略屌	略微有点厉害
叫兽	贬义
日	感叹、气愤、惊叹
么么哒	亲亲、亲爱、的宝贝
ps	Photoshop
草包	没有真才实学的人
宅女	不爱出门，交往不多
八婆	贬义
宅男	不爱出门，交往不多
耐操	忍受能力强，耐力强。
劳资	老子
咪咪	猫
盆友	朋友
得瑟	过分地炫耀、招摇
正能量	好的（如健康的，积极的）无形的东西，褒义
吃货	特别能吃，爱吃的人
三八	骂女性
穿帮	露出马脚,露馅
二百五	傻头傻脑，或说话不正经、办事不认真
纠结	复杂的,混乱的,困惑心境
逆袭	反击、还击
style	风格,类型
正点	好
派对	社交聚会
河蟹	和谐
奇葩	中性或贬义
现充	现实生活充实
有种	有气魄,有胆量,有尊严
哦也	高兴和兴奋
那尼	疑问或者惊讶
傲娇	表面傲,心里娇,平常傲气，蛮横，任性，但在一定条件下会表现出害羞、体贴
蛋定	镇定，平静，不会太过兴奋的心态或态度
牛叉	很厉害的意思
开刀	惩罚
闪	离开
闷骚	实际富有思想和内涵
老鸟	老手
王道	权威或真理
美眉	美女
大姨妈  月经
逆天	违背天意或天道
天朝	中国
稀饭	喜欢
腹黑	表面和善温和，内心却邪恶的人
pose	姿势
亚美爹	不要,停止,住手,不可以
肿么办	怎么办
萝莉	可爱的小女孩
饭局	宴会，聚餐
达人	高
3Q	谢谢
欧了	完了，事情办妥了
呐尼	什么
卖萌	显示自己的可爱
萌	可爱,令人喜欢
牛B	很厉害的意思
肿么了	怎么了
你妹	诙谐幽默的否定
二b	人笨,傻
草根	卑微的弱势人群.
神马	什么
你懂的	你应当知道的
围脖	微博
灰常	非常
酱紫	这样子
意淫	求之不得的事物
浮云	虚的，转瞬即逝，不值一提的东西
out	不上潮流,落后了
hold住	把握住,控制住,稳定住
鸭梨	压力
吐槽	不开心
基友	关系好的朋友
酷	喜欢和赞美
XXX	某某某
粉丝	对某事物特别狂热,爱好,支持的人
有料	有本事,有能力,有才
童鞋	同学
有木有	有没有
ing	表示正在干什么
表	不要
偶	我
菜鸟	新手
大虾	大侠，厉害
东东	东西






我好方   我很慌张
我也是醉了	我很无奈、郁闷、无语
真是醉了    无奈、郁闷、无语
真特么日了狗了  非常不爽
真是秀下限    展示最低限度给别人看，很不爽
哦凑  不爽
真是装逼  假装很厉害，其实很垃圾
蓝瘦香菇   难受想哭
真特么扯淡   胡说八道
真特么扯蛋   胡说八道
真是操蛋   抱怨，不爽
弱爆	非常弱，超级弱、无敌弱
恶爆	非常恶心，超级恶心、无敌恶心
废柴	废物，无用的人
磨叽	办事儿拖拖拉拉、不利索
被完爆	被其他人全面超过
真是无良商家  真是没有良心的商家
衰	倒霉,运气不好
无良	没良心
哦谢特	厌恶、恼怒
次奥	无奈，不爽
2b	侮辱,人笨,傻
脑残	讽刺人智力低下或脑力有缺陷
小样	讽刺或戏谑很弱
歇火	停止死，完蛋，完了,没戏，下台，走开，没办法，不行
傻冒	傻傻子
歇菜	停止,死，完蛋，完了,没戏，下台，走开，没办法，不行
抓狂	刺激而疯狂
切!!!	蔑视
怨念	即埋怨或怨恨的念头
极品	讽刺和贬低
靠!!!!	发泄
SB	傻逼
尼玛	轻微怒气
囧	不高兴的心情,郁闷、悲伤、无奈或者极为尴尬
我勒个去	心情不爽时的发泄语
坑爹	欺骗,欺诈
伤不起	经不起伤害了
